age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52
94,f,yes,yes,yes,yes,yes,True,False,2048,in,44,True,70,84,98,10,0,26,55,70,91,90,93,60,63,51,24,98,80,29,41,14,3,27,57,14,3,95,0,40,42,16,85,38,46,4,56,39,24,40,82,59,21,31,78,59,48,94,60,61,38,32,59,58
83,f,yes,yes,yes,yes,yes,True,False,1216,in,23,True,55,17,71,75,8,98,39,79,95,10,54,42,18,97,26,69,68,53,50,6,26,85,47,59,10,71,9,0,69,27,57,39,81,99,2,79,87,1,66,93,47,41,36,68,3,74,51,64,76,83,36,82
96,f,yes,yes,yes,yes,yes,True,False,2599,in,13,True,92,22,62,70,58,56,49,62,9,6,20,1,67,74,86,100,81,89,11,25,63,11,94,92,79,38,37,87,20,65,79,25,39,60,27,81,97,8,80,47,92,58,57,70,69,61,98,69,63,25,35,69
99,f,yes,yes,yes,yes,yes,True,False,2570,in,30,True,74,95,74,100,97,8,65,93,78,70,83,40,91,83,26,94,13,94,16,17,79,25,22,34,86,84,13,85,16,51,53,16,51,52,52,26,36,25,69,11,26,74,100,81,76,47,53,10,81,14,60,28
90,m,no,yes,yes,yes,yes,True,False,1089,in,39,True,12,66,73,46,7,34,81,85,32,50,15,54,22,88,3,6,23,50,91,48,9,77,51,78,44,82,89,61,2,80,26,11,21,22,27,35,74,14,38,88,27,17,88,1,34,68,45,70,45,35,47,98
84,m,yes,yes,yes,yes,no,True,False,2342,in,10,True,11,72,45,73,90,26,12,48,83,31,41,93,66,49,98,74,64,13,29,43,2,49,57,47,55,77,69,48,48,7,55,29,39,56,11,51,32,32,35,30,52,96,17,49,50,25,66,73,90,51,70,14
83,m,yes,yes,yes,yes,yes,True,False,2006,in,25,True,56,9,37,98,18,56,70,74,38,96,49,98,73,25,66,58,58,9,38,5,81,93,2,13,72,92,76,54,65,7,6,65,94,79,94,50,72,60,58,17,25,50,89,97,53,2,7,34,59,32,84,20
91,f,yes,yes,yes,yes,yes,True,False,1388,in,2,True,8,68,46,76,81,2,7,73,36,25,31,32,40,57,24,23,28,40,44,93,15,22,47,58,95,77,93,63,12,66,1,48,81,29,61,69,55,52,22,13,21,35,34,38,5,0,81,56,90,0,9,89
68,m,yes,yes,yes,no,yes,True,False,1232,out,50,True,97,56,7,82,77,53,49,66,2,91,93,20,35,48,30,99,91,87,74,70,66,25,100,70,41,40,98,60,39,10,24,0,65,23,88,15,37,28,42,1,12,17,95,68,43,6,84,91,66,78,51,75
81,m,yes,yes,yes,yes,no,True,False,2472,in,8,True,48,0,27,79,63,26,89,53,5,26,11,82,34,70,5,40,24,16,54,64,14,99,4,94,27,90,61,92,95,26,14,3,49,75,76,64,51,42,92,6,73,58,82,39,20,99,28,40,79,25,69,94
80,m,yes,yes,yes,yes,yes,True,False,299,in,6,True,10,84,9,49,41,66,90,23,47,11,25,65,56,6,62,57,14,0,93,98,33,55,25,86,22,17,61,47,68,55,65,89,64,31,38,18,22,71,100,39,64,39,96,57,19,54,47,81,32,51,25,97
98,f,yes,yes,yes,yes,yes,True,False,1462,out,57,True,29,8,96,50,14,37,42,68,3,56,81,2,80,72,93,87,57,9,19,27,38,45,44,0,60,52,86,91,42,84,81,17,26,17,32,33,45,72,57,82,55,83,49,53,8,39,55,62,29,25,60,42
95,m,yes,yes,yes,yes,no,True,False,2308,in,34,True,81,18,20,88,0,68,25,92,55,13,64,98,46,99,95,79,5,23,11,69,45,38,1,75,37,47,18,29,61,18,92,29,88,47,77,29,41,36,86,63,2,64,20,52,73,83,42,67,39,14,4,82
83,m,yes,no,yes,yes,yes,True,False,1185,in,29,True,46,75,24,30,46,83,78,76,81,54,4,10,80,58,30,60,65,43,36,73,14,22,59,42,28,77,3,85,4,55,75,36,35,91,93,62,76,0,75,1,51,56,96,87,62,70,18,79,6,25,87,100
71,m,yes,yes,no,yes,yes,True,False,2804,in,19,True,27,83,10,77,37,91,91,78,79,92,35,82,72,51,12,78,22,50,80,82,72,83,74,57,94,7,83,7,32,73,100,46,55,34,88,77,30,16,37,12,36,25,23,19,46,68,74,83,76,33,31,75
80,m,yes,yes,yes,yes,yes,True,False,2167,out,100,True,2,13,6,54,54,23,41,16,36,82,2,70,70,71,9,70,74,66,97,41,8,29,19,39,49,75,81,20,98,44,96,10,75,68,70,58,13,90,35,22,82,30,79,70,0,69,85,6,56,10,20,73
87,f,yes,yes,yes,yes,yes,True,False,1139,out,91,True,80,83,75,13,49,70,44,22,22,94,74,94,78,52,84,22,92,96,69,10,25,13,74,37,74,65,87,33,93,29,57,98,52,63,95,57,93,48,91,71,7,60,36,3,85,62,11,70,35,88,64,8
88,m,yes,yes,yes,yes,yes,True,False,1866,out,54,True,44,49,63,59,10,60,71,13,37,74,24,27,3,69,12,29,30,43,27,16,64,57,69,82,55,82,28,56,34,23,10,36,49,94,64,71,8,97,86,29,63,54,78,41,70,52,69,41,84,83,43,47
66,f,yes,yes,yes,yes,yes,True,False,1905,out,50,True,54,19,72,64,91,69,19,42,37,32,42,65,100,10,20,100,25,8,66,50,78,60,18,52,8,4,0,100,28,94,17,12,9,37,22,62,38,19,79,88,18,8,1,33,84,0,44,0,61,34,100,92
80,f,no,yes,yes,yes,yes,True,False,2998,out,78,True,70,48,93,97,78,24,10,86,0,38,13,98,64,22,6,43,97,20,68,86,57,48,75,7,54,90,63,67,89,84,29,89,32,91,67,36,7,0,85,72,83,39,98,56,94,75,75,84,100,12,73,56
98,m,yes,yes,yes,yes,yes,True,False,2549,out,95,True,56,10,16,76,83,54,95,52,76,77,25,9,71,82,32,52,58,91,94,83,47,84,53,28,17,49,9,73,29,46,75,60,21,60,16,49,58,44,62,1,46,1,66,9,99,40,52,21,99,9,39,14
80,m,yes,yes,yes,no,yes,True,False,1787,in,32,True,22,34,35,54,47,74,84,44,86,49,85,93,42,68,71,27,43,32,80,95,24,41,23,92,33,76,15,93,9,65,47,100,21,29,75,11,63,93,68,43,71,49,100,28,80,99,32,78,95,31,66,19
75,f,yes,yes,yes,yes,yes,True,False,1795,in,29,True,67,0,36,65,70,52,46,32,5,54,100,17,21,5,67,48,93,25,59,30,31,72,92,96,43,33,37,58,59,17,20,15,28,65,90,39,66,51,88,66,7,59,21,23,93,50,19,0,14,75,74,8
95,f,yes,no,yes,yes,yes,True,False,1054,in,33,True,87,63,76,46,69,52,32,52,71,31,28,66,31,87,10,29,20,86,33,52,47,27,26,81,80,65,63,46,1,99,82,43,86,77,67,66,65,33,17,26,37,51,59,50,0,50,66,63,93,66,65,69
75,m,yes,yes,yes,yes,no,True,False,2168,in,8,True,14,20,69,79,80,27,9,61,76,76,73,77,34,27,96,12,80,59,52,15,36,72,21,62,72,93,94,51,1,38,77,48,44,40,8,2,8,95,54,25,62,71,33,88,40,5,58,24,70,59,29,74
85,f,yes,yes,yes,yes,yes,True,False,1303,in,38,True,56,17,83,73,3,41,95,82,12,66,45,83,14,18,2,36,25,86,23,58,74,6,68,2,26,0,17,43,65,77,98,92,44,26,6,66,50,32,21,70,54,100,13,8,24,93,44,42,78,74,38,93
79,m,no,yes,yes,yes,yes,True,False,2389,in,2,True,64,69,35,87,17,2,50,90,61,94,84,90,85,28,7,20,58,34,49,44,32,94,42,48,64,9,24,9,56,49,68,10,99,15,69,93,66,65,97,14,78,82,88,0,17,86,93,79,67,78,50,35
81,m,no,yes,yes,yes,yes,True,False,2200,in,6,True,88,93,43,3,100,5,86,1,16,51,55,54,42,99,52,65,50,82,21,53,14,12,39,100,24,96,15,24,10,13,85,61,86,74,65,41,68,80,56,80,89,94,6,95,59,66,71,8,26,31,24,53
94,f,yes,yes,yes,yes,yes,True,False,731,in,7,True,23,81,50,10,69,60,69,41,61,65,10,14,54,78,3,56,5,14,85,61,85,83,82,53,45,21,57,61,16,4,62,32,70,82,22,35,78,87,94,9,38,41,33,17,7,59,44,69,79,71,75,99
98,f,yes,yes,yes,yes,yes,True,False,1579,out,94,True,22,63,56,64,15,28,1,17,80,10,62,4,98,45,61,90,74,19,100,16,27,95,70,9,57,62,28,50,84,69,15,99,66,53,67,39,65,13,10,49,92,59,57,53,66,58,5,70,86,60,13,15
80,m,yes,yes,yes,no,yes,True,False,986,out,76,True,78,28,92,91,74,28,64,100,26,24,70,65,10,90,43,22,21,35,22,16,36,40,98,87,17,35,28,25,83,84,8,100,69,17,66,93,39,69,19,81,68,23,94,54,37,99,85,57,51,42,21,12
