age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52
66,f,yes,yes,no,yes,yes,True,False,1583,out,99,True,39,8,25,92,35,61,49,67,93,20,100,20,39,24,46,74,77,10,80,48,21,92,89,46,65,22,88,12,2,81,2,61,97,40,18,87,45,34,51,84,18,63,22,58,60,34,92,31,63,9,59,85
77,m,yes,no,yes,yes,yes,True,False,1473,in,13,True,93,88,96,55,48,9,30,53,92,6,85,67,13,64,29,2,75,67,92,1,19,52,0,45,75,31,77,54,41,93,62,54,27,80,84,58,75,61,44,47,50,44,42,14,9,53,72,2,61,6,80,13
95,m,yes,yes,no,yes,yes,True,False,1102,out,95,True,10,83,68,58,91,43,64,67,84,90,75,68,2,30,65,27,22,13,60,29,61,77,91,69,74,50,40,6,48,49,26,17,24,67,92,96,85,48,18,2,40,94,76,4,55,7,78,28,4,42,10,66
77,f,yes,yes,yes,yes,yes,True,False,1896,in,3,True,71,54,70,74,97,52,68,60,76,30,97,16,32,11,30,4,86,80,41,89,94,59,91,23,58,52,72,21,22,91,72,81,79,60,37,13,95,69,20,86,22,90,26,35,7,34,44,63,33,51,90,74
74,f,yes,yes,yes,no,yes,True,False,1019,in,19,True,54,6,95,88,4,57,67,75,78,41,40,65,93,64,8,42,14,11,25,30,23,28,76,21,58,61,20,21,93,82,67,51,47,71,51,55,7,12,14,60,87,46,15,64,70,53,9,23,72,99,47,51
98,m,yes,yes,no,yes,yes,True,False,903,in,22,True,42,43,23,80,92,81,52,55,30,56,23,61,48,38,80,51,25,1,50,71,13,4,11,18,40,70,43,21,34,18,84,2,22,41,100,69,41,10,78,91,38,7,95,1,5,89,16,88,76,55,29,7
74,f,yes,yes,yes,yes,yes,True,False,1696,in,33,True,59,7,75,99,60,3,76,69,41,36,73,19,58,1,89,46,52,4,22,53,2,34,94,6,97,75,17,56,80,83,70,36,11,33,45,81,22,82,79,91,5,78,34,47,58,58,8,86,62,12,7,59
96,f,yes,yes,yes,no,yes,True,False,2667,out,70,True,7,15,54,28,34,83,63,71,35,18,44,98,89,80,40,1,61,27,70,38,3,53,76,18,4,25,59,95,44,91,79,48,33,93,53,85,99,68,78,75,57,1,45,78,33,4,98,89,46,91,42,25
89,f,yes,yes,no,yes,yes,True,False,1278,in,10,True,75,40,68,19,17,26,70,44,99,40,3,67,55,79,30,20,98,42,60,50,56,66,60,95,84,91,57,87,10,68,71,6,16,53,81,14,32,37,41,96,57,12,43,69,86,29,87,22,66,53,79,54
79,f,yes,yes,yes,yes,yes,True,False,1503,out,88,True,57,5,13,49,10,9,39,70,14,87,2,56,45,89,10,98,16,4,19,11,61,93,68,50,52,88,0,40,30,96,21,38,99,64,8,44,53,86,22,16,41,52,97,78,9,13,22,32,14,7,88,51
70,m,yes,yes,yes,yes,no,True,False,735,out,69,True,98,3,26,60,19,98,84,75,21,24,24,43,45,76,67,99,24,41,80,63,22,50,66,82,91,66,58,81,44,31,98,5,34,19,22,86,48,6,67,39,17,2,26,6,28,38,44,16,92,62,51,85
97,m,yes,yes,yes,yes,yes,True,False,1924,out,71,True,13,99,56,11,14,84,66,7,98,27,27,59,5,33,26,75,61,95,85,70,100,41,4,67,46,5,72,71,3,26,75,16,21,14,89,49,60,72,50,67,11,86,25,5,71,36,12,24,4,39,67,86
91,m,yes,yes,no,yes,yes,True,False,29,out,99,True,36,55,20,68,43,88,28,51,95,45,79,32,3,77,13,51,6,31,48,31,41,71,70,81,6,12,37,96,13,25,27,5,34,39,42,80,58,89,12,98,57,6,11,49,30,40,15,23,6,4,78,76
77,f,no,yes,yes,yes,yes,True,False,1495,in,41,True,46,21,48,53,64,34,5,99,13,96,87,67,41,30,89,55,15,91,32,36,56,51,81,51,71,78,37,8,64,6,79,58,96,22,9,10,14,31,50,48,50,80,74,98,63,92,45,64,92,58,49,82
91,f,yes,yes,yes,yes,yes,True,False,873,in,38,True,43,5,90,38,48,64,52,59,45,25,23,87,11,66,77,51,50,44,27,54,51,65,45,93,33,90,72,89,1,5,65,97,65,7,42,65,52,60,70,67,97,82,38,23,10,79,52,68,32,5,33,85
93,m,yes,yes,yes,yes,yes,True,False,582,in,48,True,30,59,89,13,69,31,11,7,42,35,87,48,35,28,54,18,94,82,17,63,45,57,66,38,62,35,75,7,23,72,12,94,87,32,80,63,6,39,45,46,70,33,38,97,46,13,69,96,61,26,4,4
70,m,yes,yes,yes,yes,yes,True,False,233,in,23,True,15,39,77,69,50,71,5,49,7,88,46,49,3,32,59,68,15,32,19,15,21,56,83,0,47,2,1,40,33,19,70,62,28,45,4,64,81,89,17,69,78,57,4,2,21,10,90,93,47,98,57,12
